"contract_year","department","entries_above_25k","entries_below_25k"
"2019","Farm Products Council of Canada","0","2"
"2019","Federal Economic Development Agency for Southern Ontario","26","30"
"2019","Financial Consumer Agency of Canada","41","44"
"2019","Financial Transactions and Reports Analysis Centre of Canada","39","28"
"2019","Fisheries and Oceans Canada","2893","2788"
"2019","Global Affairs Canada","1417","2328"
"2019","Health Canada","533","755"
"2019","Immigration and Refugee Board of Canada","108","188"
"2019","Immigration, Refugees and Citizenship Canada","541","175"
"2019","Impact Assessment Agency of Canada","26","42"
"2019","Indigenous Services Canada","227","250"
"2019","Innovation, Science and Economic Development Canada","600","633"
"2019","International Joint Commission","8","20"
"2019","Invest in Canada","3","1"
"2019","Library and Archives Canada","51","86"
"2019","Military Grievances External Review Committee","3","6"
"2019","Military Police Complaints Commission of Canada","3","14"
"2019","National Defence","5920","6334"
"2019","National Film Board","95","104"
"2019","National Research Council Canada","937","1677"
"2019","National Security and Intelligence Review Agency","3","5"
"2019","Natural Resources Canada","629","1289"
"2019","Natural Sciences and Engineering Research Council of Canada","58","59"
"2019","Office of the Auditor General of Canada","71","149"
"2019","Office of the Commissioner for Federal Judicial Affairs Canada","14","67"
"2019","Office of the Commissioner of Lobbying of Canada","3","10"
"2019","Office of the Commissioner of Official Languages","22","22"
"2019","Office of the Information Commissioner of Canada","20","14"
"2019","Office of the Privacy Commissioner of Canada","29","82"
"2019","Office of the Public Sector Integrity Commissioner of Canada","8","10"
"2019","Office of the Secretary to the Governor General","17","31"
"2019","Office of the Superintendent of Financial Institutions Canada","123","195"
"2019","Parks Canada","1152","1488"
"2020","Accessibility Standards Canada","8","2"
"2020","Administrative Tribunals Support Service of Canada","49","18"
"2020","Agriculture and Agri-Food Canada","607","1041"
"2020","Atlantic Canada Opportunities Agency","39","33"
"2020","Canada Border Services Agency","566","366"
"2020","Canada Economic Development for Quebec Regions","29","22"
"2020","Canada Energy Regulator","88","43"
"2020","Canada Revenue Agency","445","209"
"2020","Canada School of Public Service","56","33"
"2020","Canadian Centre for Occupational Health and Safety","5","18"
"2020","Canadian Food Inspection Agency","208","134"
"2020","Canadian Grain Commission","44","47"
"2020","Canadian Heritage","184","165"
"2020","Canadian Human Rights Commission","32","49"
"2020","Canadian Institutes of Health Research","44","43"
"2020","Canadian Intergovernmental Conference Secretariat","1","13"
"2020","Canadian Northern Economic Development Agency","8","8"
"2020","Canadian Nuclear Safety Commission","85","70"
"2020","Canadian Radio-television and Telecommunications Commission","51","39"
"2020","Canadian Space Agency","158","108"
"2020","Canadian Transportation Agency","21","26"
"2020","Civilian Review and Complaints Commission for the RCMP","16","10"
"2020","Correctional Service of Canada","1414","1690"
"2020","Courts Administration Service","94","84"
"2020","Crown-Indigenous Relations and Northern Affairs Canada","245","110"
"2020","Department of Finance Canada","58","55"
"2020","Department of Housing, Infrastructure and Communities","54","15"
"2020","Department of Justice Canada","157","138"
"2020","Elections Canada","191","97"
"2020","Employment and Social Development Canada","1059","345"
"2020","Environment and Climate Change Canada","1000","1003"
"2020","Farm Products Council of Canada","9","4"
"2020","Federal Economic Development Agency for Southern Ontario","19","9"
"2020","Financial Consumer Agency of Canada","32","24"
"2020","Financial Transactions and Reports Analysis Centre of Canada","54","30"
"2020","Fisheries and Oceans Canada","3089","2779"
"2020","Global Affairs Canada","1457","1735"
"2020","Health Canada","618","541"
